"F","A","M","E","I","U"
8,35,10,0,"1","0"
10,37,16,0,"1","0"
6,47,14,0,"1","0"
6,40,14,0,"1","0"
7,37,10,8,"1","0"
8,45,13,0,"1","0"
6,38,13,0,"1","0"
9,43,15,2,"1","0"
4,38,13,3,"1","0"
7,35,10,0,"1","0"
5,38,19,0,"1","0"
1,40,14,0,"1","0"
5,38,19,0,"1","0"
4,36,14,0,"1","0"
6,39,14,0,"1","0"
10,44,13,0,"1","0"
9,46,18,0,"1","0"
3,37,11,0,"1","0"
5,44,12,0,"1","0"
3,46,17,0,"1","0"
8,38,13,0,"1","0"
7,38,14,0,"1","0"
6,47,13,0,"1","0"
5,42,23,5,"0","1"
8,36,16,6,"0","1"
4,37,22,8,"0","1"
7,41,17,5,"0","1"
6,35,20,0,"1","1"
1,43,12,0,"1","1"
3,47,32,13,"1","1"
11,41,20,5,"1","1"
3,38,17,0,"1","1"
3,45,13,0,"1","1"
3,41,28,0,"1","1"
7,39,17,0,"1","1"
7,41,15,0,"1","1"
7,40,18,8,"0","1"
2,48,16,5,"0","0"
7,48,21,0,"0","0"
8,42,18,0,"0","0"
10,40,17,6,"0","0"
5,36,18,6,"0","0"
8,44,21,8,"0","0"
1,39,35,6,"0","0"
8,38,18,6,"0","0"
2,42,14,0,"1","0"
7,37,16,0,"1","0"
9,40,23,0,"1","0"
7,35,10,0,"1","0"
10,35,15,0,"1","0"
14,42,13,0,"1","0"
7,40,10,1,"1","0"
1,38,29,5,"0","0"
7,44,21,5,"0","0"
9,48,16,6,"0","0"
13,43,17,5,"0","0"
7,47,20,4,"0","0"
7,45,19,4,"0","0"
8,41,22,0,"0","0"
8,40,16,0,"1","0"
6,48,11,0,"1","0"
9,37,15,7,"1","0"
8,45,18,4,"1","0"
11,47,16,0,"1","0"
6,37,19,5,"0","0"
7,42,19,4,"0","0"
9,49,22,8,"0","0"
4,38,24,7,"0","0"
10,42,16,4,"0","0"
2,45,23,6,"0","0"
4,44,37,8,"0","0"
5,35,21,0,"1","0"
8,40,17,0,"1","0"
5,45,11,0,"1","0"
3,35,14,5,"1","0"
6,35,17,0,"1","0"
12,45,12,0,"1","0"
7,35,15,4,"1","0"
6,42,13,0,"1","0"
11,47,12,0,"1","0"
7,43,17,8,"0","0"
7,46,19,6,"0","0"
7,45,19,4,"0","0"
15,45,14,2,"1","0"
8,39,13,0,"1","0"
6,44,14,4,"1","0"
5,36,18,7,"1","0"
9,46,17,0,"1","0"
7,47,11,0,"1","0"
8,46,12,0,"1","0"
8,40,14,4,"1","0"
11,40,15,8,"1","0"
5,35,15,0,"1","0"
5,39,16,0,"1","0"
6,47,22,4,"0","0"
5,41,21,8,"0","0"
0,35,19,6,"0","0"
5,42,21,8,"0","0"
3,35,21,3,"1","0"
5,38,16,0,"1","0"
8,41,15,0,"1","0"
15,45,16,0,"1","0"
9,39,12,4,"1","0"
7,36,13,0,"1","0"
7,39,18,0,"0","0"
2,43,19,6,"0","0"
6,39,19,4,"0","0"
3,39,28,7,"0","0"
5,47,17,0,"1","0"
4,41,22,8,"1","0"
6,36,18,0,"1","0"
8,39,14,2,"1","0"
9,46,14,0,"1","0"
7,37,15,6,"1","0"
6,35,13,3,"1","0"
7,40,11,0,"1","0"
1,39,14,3,"1","0"
3,43,19,0,"1","0"
5,48,15,0,"1","0"
0,35,24,7,"0","0"
10,46,18,4,"0","0"
10,43,19,3,"0","0"
6,36,22,5,"0","0"
7,37,15,6,"0","0"
1,39,29,6,"0","0"
3,36,25,4,"0","0"
5,36,17,5,"0","0"
4,35,26,5,"0","0"
8,49,17,0,"1","0"
8,44,10,0,"1","0"
12,45,16,0,"1","0"
9,41,17,0,"1","0"
8,42,15,5,"1","0"
12,37,14,0,"1","0"
10,36,9,0,"1","0"
9,37,14,0,"1","0"
8,47,17,6,"0","0"
2,41,13,5,"0","0"
7,42,22,5,"0","0"
7,43,19,8,"0","0"
6,43,17,7,"0","0"
1,46,18,4,"0","0"
8,37,21,5,"0","0"
0,48,33,3,"0","0"
8,39,18,8,"0","0"
10,42,15,0,"1","0"
14,45,17,0,"1","0"
6,39,19,0,"1","0"
10,43,13,4,"1","0"
8,46,13,0,"1","0"
11,47,13,3,"1","0"
5,43,17,0,"1","0"
10,44,21,0,"1","0"
0,45,19,0,"1","0"
1,39,19,6,"0","0"
2,48,31,6,"0","0"
6,49,20,4,"0","0"
6,49,18,5,"0","0"
9,46,22,4,"0","0"
7,37,21,8,"0","0"
7,39,17,6,"0","0"
9,47,16,5,"0","0"
9,36,17,7,"0","0"
0,41,11,4,"0","0"
3,46,15,8,"0","0"
7,46,16,8,"0","0"
5,37,17,5,"0","0"
5,48,20,8,"0","0"
1,37,24,4,"0","0"
5,43,24,7,"0","0"
6,41,21,7,"0","0"
5,46,21,4,"0","0"
7,48,21,7,"0","0"
1,39,17,8,"0","0"
7,38,19,7,"0","0"
1,45,20,4,"0","0"
10,41,17,6,"0","0"
4,44,20,6,"0","0"
4,35,21,5,"0","0"
7,46,23,4,"0","0"
1,35,21,4,"0","0"
5,35,20,6,"0","0"
5,37,26,5,"0","0"
5,35,23,5,"0","0"
7,45,15,7,"0","0"
4,48,28,4,"0","0"
7,39,26,6,"0","0"
2,37,22,8,"0","0"
7,42,19,5,"0","0"
6,45,17,4,"0","0"
4,46,24,6,"0","0"
2,38,21,5,"0","0"
5,38,21,4,"0","0"
7,41,20,6,"0","0"
11,49,17,6,"0","0"
9,41,14,3,"1","0"
11,42,16,0,"1","0"
9,44,13,0,"1","0"
7,36,16,6,"1","0"
4,36,15,0,"1","0"
9,47,17,3,"1","0"
2,44,17,0,"1","0"
3,39,27,5,"1","0"
7,36,18,0,"1","0"
4,38,14,6,"1","0"
7,39,9,0,"1","0"
3,35,20,0,"1","0"
8,39,17,0,"1","0"
8,48,19,0,"1","0"
2,39,36,8,"0","0"
3,44,20,0,"0","0"
7,44,19,6,"0","0"
7,39,23,5,"0","0"
10,38,18,5,"0","0"
10,41,17,6,"0","0"
5,47,21,6,"0","0"
2,45,24,8,"0","0"
9,44,15,6,"1","0"
3,37,18,0,"1","0"
8,40,14,0,"1","0"
10,40,19,6,"0","0"
1,40,28,4,"0","0"
5,39,18,5,"0","0"
4,35,20,6,"0","0"
1,38,21,7,"0","0"
3,35,23,15,"0","0"
8,44,21,6,"0","0"
0,44,14,3,"0","0"
3,35,15,0,"1","0"
7,42,16,4,"1","0"
4,38,20,3,"1","0"
10,47,13,0,"1","0"
8,36,18,0,"1","0"
6,41,18,1,"1","0"
10,43,17,3,"1","0"
10,39,18,0,"1","0"
5,35,21,9,"0","1"
6,37,17,5,"1","1"
6,41,21,6,"1","1"
7,35,19,4,"1","1"
4,41,13,0,"1","1"
4,40,19,8,"1","1"
4,44,28,5,"1","1"
8,40,16,0,"1","1"
10,48,17,5,"1","1"
9,38,18,5,"0","1"
3,44,22,5,"0","1"
1,45,23,6,"0","1"
3,49,29,0,"0","1"
3,38,22,9,"0","1"
7,43,14,5,"1","1"
9,37,17,0,"1","1"
8,42,16,0,"1","1"
4,36,10,4,"1","1"
6,38,13,0,"1","1"
10,42,13,0,"1","1"
9,49,15,0,"1","1"
5,35,17,4,"1","1"
5,39,20,6,"1","1"
4,36,20,4,"1","1"
5,43,18,0,"1","1"
1,45,16,0,"1","1"
16,49,14,0,"1","1"
10,40,13,0,"1","1"
5,39,23,4,"1","1"
9,45,11,0,"1","1"
6,38,16,0,"1","1"
12,48,19,0,"1","1"
6,37,17,3,"1","1"
1,40,15,0,"1","1"
6,35,17,5,"1","1"
4,39,21,0,"1","1"
7,45,16,0,"1","1"
10,42,14,7,"1","1"
14,46,15,0,"1","1"
3,39,22,6,"0","1"
5,38,16,0,"1","1"
8,48,21,0,"0","1"
8,41,16,3,"0","1"
2,41,14,4,"0","1"
7,37,15,6,"0","1"
1,48,21,4,"0","1"
9,45,13,0,"0","1"
10,41,16,5,"0","1"
3,39,14,4,"0","1"
2,44,22,6,"0","1"
6,40,18,6,"0","1"
6,49,21,5,"0","1"
5,35,16,0,"0","1"
7,45,19,0,"1","1"
7,45,20,0,"1","1"
6,35,17,4,"1","1"
5,36,15,3,"1","1"
3,37,14,2,"1","1"
5,47,13,0,"1","1"
8,49,15,0,"1","1"
5,40,16,0,"1","1"
6,40,22,0,"1","1"
4,42,16,0,"1","1"
10,46,15,0,"1","1"
3,43,14,0,"1","1"
13,47,14,3,"1","1"
0,43,36,8,"1","1"
10,47,14,3,"1","1"
7,41,22,5,"0","1"
0,35,17,4,"0","1"
1,40,23,5,"0","1"
6,43,22,8,"0","1"
7,40,19,3,"1","1"
13,49,16,1,"1","1"
9,43,19,8,"1","1"
2,39,23,10,"1","1"
2,41,21,10,"1","1"
7,37,18,3,"1","1"
4,42,21,4,"1","1"
7,38,18,0,"1","1"
10,46,14,0,"1","1"
5,44,18,7,"1","1"
14,49,15,3,"1","1"
5,36,10,0,"1","1"
5,37,20,0,"1","1"
5,41,14,0,"1","1"
3,42,17,5,"1","1"
5,46,17,8,"1","1"
2,39,35,8,"0","1"
6,35,18,5,"0","0"
6,36,19,5,"0","0"
7,36,20,4,"0","0"
5,35,24,6,"0","0"
7,41,21,8,"0","0"
8,43,18,3,"0","0"
5,37,19,7,"0","0"
12,45,36,7,"0","0"
4,37,20,5,"0","0"
7,36,20,8,"0","0"
9,38,18,7,"0","0"
0,45,44,5,"0","0"
10,49,17,0,"0","0"
8,48,24,4,"0","0"
11,44,20,6,"0","0"
11,42,18,6,"0","0"
5,44,27,6,"0","0"
8,41,21,7,"0","0"
8,44,13,8,"0","0"
4,38,22,6,"0","0"
7,48,20,5,"0","0"
10,47,20,6,"0","0"
4,44,13,4,"0","0"
9,43,21,7,"0","0"
7,37,19,3,"0","0"
8,44,21,4,"0","0"
6,45,27,5,"0","0"
7,36,18,8,"0","0"
6,41,15,5,"0","0"
9,43,15,7,"0","0"
6,35,18,5,"0","0"
6,42,19,8,"0","0"
10,36,18,4,"0","0"
7,39,17,8,"0","0"
9,46,20,5,"0","0"
7,42,16,6,"0","0"
5,36,19,14,"0","0"
7,37,19,6,"0","0"
9,42,24,5,"0","0"
0,40,25,5,"0","0"
5,36,25,0,"0","0"
2,40,14,4,"0","0"
9,36,18,4,"0","0"
10,48,21,0,"1","0"
3,38,16,7,"0","0"
0,38,14,6,"0","0"
9,42,17,4,"0","0"
7,43,23,6,"0","0"
0,39,18,4,"0","0"
1,35,32,6,"0","0"
1,46,20,4,"0","0"
4,38,22,6,"0","0"
6,38,21,6,"0","0"
5,36,19,5,"0","0"
7,36,18,7,"0","0"
5,39,27,0,"0","0"
6,43,25,6,"0","0"
3,35,13,6,"0","0"
6,43,17,4,"0","0"
8,49,15,7,"1","0"
5,36,15,4,"1","0"
4,41,14,0,"1","0"
17,49,10,0,"1","0"
8,42,22,3,"1","0"
7,43,18,5,"1","0"
0,45,20,0,"1","0"
6,37,10,2,"1","0"
9,36,16,0,"1","0"
5,37,15,2,"1","0"
8,43,17,5,"0","0"
9,41,20,4,"0","0"
1,37,21,6,"0","0"
0,48,19,3,"0","0"
3,38,19,6,"0","0"
2,44,20,4,"0","0"
7,37,13,4,"0","0"
0,35,16,5,"0","0"
6,37,16,8,"1","0"
14,44,17,2,"1","0"
6,41,18,8,"1","0"
7,41,13,0,"1","0"
8,36,16,4,"1","0"
4,44,22,7,"1","0"
6,48,14,0,"1","0"
3,39,16,4,"1","0"
9,38,17,8,"0","1"
1,38,16,3,"0","1"
11,41,15,3,"1","1"
7,48,17,0,"1","1"
15,47,12,4,"1","1"
9,46,21,5,"1","1"
7,40,13,6,"1","1"
5,45,14,0,"1","1"
7,48,12,3,"0","1"
1,48,34,5,"0","1"
0,42,19,5,"0","0"
2,38,25,7,"0","0"
6,39,23,5,"0","0"
9,49,20,8,"0","0"
7,35,16,3,"0","0"
8,39,18,8,"0","0"
2,47,21,4,"0","0"
1,48,18,7,"0","0"
10,49,19,8,"0","0"
2,41,14,6,"0","0"
9,43,18,7,"0","0"
1,40,31,4,"0","0"
4,43,23,3,"0","0"
11,40,11,4,"0","0"
7,38,18,7,"0","0"
9,43,20,8,"0","0"
11,47,19,6,"0","0"
12,44,13,3,"0","0"
5,48,30,3,"0","0"
8,48,11,4,"1","0"
8,39,16,0,"1","0"
13,47,18,0,"1","0"
2,39,18,10,"1","0"
5,38,19,0,"1","0"
8,38,16,4,"1","0"
9,38,14,3,"1","0"
6,43,15,8,"1","0"
4,40,18,7,"1","0"
0,48,14,0,"1","0"
8,43,14,0,"1","0"
10,35,10,0,"1","0"
9,48,13,0,"1","0"
7,35,17,3,"0","1"
12,42,15,6,"0","0"
1,41,20,7,"0","1"
4,37,16,5,"0","1"
5,37,16,4,"0","1"
7,35,19,9,"0","1"
7,39,14,6,"0","1"
8,41,15,5,"0","1"
6,43,21,0,"0","1"
3,39,23,8,"0","1"
5,37,21,7,"0","1"
5,44,17,4,"0","1"
8,44,20,0,"0","1"
1,39,19,8,"0","1"
7,37,19,5,"0","1"
7,48,17,8,"0","1"
7,41,20,8,"0","1"
5,40,21,6,"0","1"
4,35,19,10,"0","1"
3,37,21,10,"0","1"
5,37,20,5,"0","0"
5,36,18,8,"0","0"
4,44,23,7,"0","0"
2,35,19,5,"0","0"
9,49,16,8,"0","0"
2,35,17,0,"1","0"
8,41,22,5,"0","0"
6,40,25,10,"0","0"
2,39,20,8,"0","0"
10,38,15,3,"0","0"
0,36,22,6,"0","0"
7,35,28,5,"0","0"
3,35,17,4,"0","0"
5,37,18,5,"0","0"
0,41,16,2,"0","0"
6,35,23,8,"0","0"
9,36,17,2,"0","0"
5,38,18,6,"0","0"
9,45,15,7,"0","0"
2,41,18,6,"0","0"
9,45,18,4,"0","0"
6,42,19,8,"1","0"
2,41,14,1,"1","0"
10,44,18,0,"1","0"
7,39,18,6,"1","0"
3,41,17,0,"1","0"
11,41,11,0,"1","0"
5,38,16,6,"1","0"
4,35,17,7,"1","0"
11,43,11,0,"1","0"
8,48,16,5,"1","0"
10,47,19,4,"1","1"
6,47,13,5,"1","1"
6,48,16,8,"0","1"
7,47,16,3,"0","1"
0,35,22,6,"0","1"
5,40,22,5,"0","1"
4,36,20,4,"1","1"
8,46,19,1,"1","1"
5,40,21,6,"1","1"
3,35,15,7,"1","1"
2,41,16,5,"1","1"
5,35,16,2,"1","1"
11,48,12,4,"1","1"
3,46,17,4,"1","1"
3,35,15,8,"1","1"
4,42,19,2,"1","1"
4,36,20,7,"1","1"
4,36,20,7,"1","1"
5,42,22,6,"0","1"
6,44,14,5,"0","1"
2,43,16,8,"0","1"
3,38,16,5,"0","1"
3,43,22,4,"0","1"
5,38,15,8,"1","1"
4,42,22,0,"1","1"
4,41,17,0,"1","1"
7,42,15,0,"1","1"
4,38,12,2,"1","1"
3,40,16,4,"1","1"
2,36,22,11,"1","1"
7,43,14,7,"0","1"
0,47,18,4,"0","1"
7,40,20,9,"0","1"
6,48,20,7,"0","1"
0,37,18,8,"0","1"
6,37,18,8,"0","1"
4,47,15,6,"0","1"
6,37,15,8,"0","1"
3,43,19,7,"0","1"
3,41,19,3,"1","1"
6,40,20,3,"1","1"
6,42,22,6,"0","1"
5,43,20,6,"0","1"
8,42,22,5,"0","1"
2,46,25,7,"0","1"
7,44,20,8,"0","1"
1,37,13,5,"0","1"
11,45,14,3,"0","1"
4,39,26,14,"0","1"
1,42,22,7,"0","1"
1,36,20,6,"0","1"
5,41,18,4,"0","0"
9,46,15,4,"1","1"
4,42,20,8,"1","1"
2,35,26,10,"1","1"
5,45,18,0,"1","1"
10,45,19,0,"1","1"
0,47,20,0,"1","1"
8,46,14,3,"1","1"
4,48,14,6,"1","1"
3,40,14,5,"1","1"
4,49,25,0,"1","1"
6,45,11,0,"1","1"
4,47,16,0,"1","1"
5,40,15,0,"1","1"
8,42,19,4,"0","1"
8,39,18,3,"0","1"
5,43,12,3,"0","1"
3,38,18,6,"0","1"
7,49,14,7,"0","1"
1,37,19,8,"0","1"
5,43,18,4,"1","1"
7,35,17,3,"1","1"
5,39,16,5,"1","1"
3,47,16,0,"1","1"
3,37,20,0,"1","1"
6,46,14,0,"1","1"
2,37,18,0,"1","1"
3,37,15,0,"1","1"
3,35,15,4,"1","1"
4,36,19,9,"1","1"
6,47,16,0,"1","1"
6,45,18,0,"1","1"
5,39,19,5,"1","1"
2,42,20,7,"1","1"
6,35,15,6,"1","1"
4,35,12,0,"1","1"
4,42,14,0,"1","1"
7,47,14,4,"1","1"
8,42,21,8,"0","1"
6,45,14,0,"1","1"
2,39,23,11,"1","1"
2,37,19,8,"1","1"
2,39,34,1,"1","1"
11,40,16,6,"1","1"
8,39,14,6,"1","1"
2,42,21,8,"1","1"
5,41,21,6,"1","1"
6,37,20,3,"1","1"
0,48,20,0,"1","1"
4,39,18,8,"1","1"
3,43,17,0,"1","1"
5,41,22,4,"1","1"
4,39,18,8,"0","1"
2,41,20,6,"0","1"
7,37,17,7,"0","1"
9,46,18,8,"0","1"
7,43,13,2,"1","1"
3,43,15,8,"1","1"
10,42,15,0,"1","1"
4,40,17,0,"1","1"
4,45,17,0,"1","1"
6,41,16,6,"1","1"
3,44,13,3,"1","1"
8,37,13,0,"1","1"
6,37,16,2,"1","1"
6,43,17,5,"1","1"
2,43,21,10,"0","1"
2,37,32,18,"1","1"
1,40,30,8,"0","1"
1,48,26,10,"1","1"
1,36,14,10,"1","1"
3,43,16,4,"1","1"
6,43,17,8,"1","1"
2,40,15,9,"1","1"
6,45,18,0,"1","1"
4,43,16,7,"1","1"
2,36,18,8,"1","1"
4,42,27,8,"1","1"
6,38,17,6,"1","1"
3,41,17,8,"1","1"
6,41,14,0,"1","1"
3,49,21,3,"0","1"
10,43,15,0,"1","1"
3,37,12,4,"1","1"
3,42,19,9,"1","1"
8,43,14,0,"1","1"
3,35,21,10,"1","1"
0,43,21,7,"0","1"
1,37,19,8,"0","1"
5,38,18,8,"0","1"
8,48,17,0,"0","1"
1,45,19,3,"0","1"
2,48,17,7,"0","1"
6,37,20,7,"0","0"
0,44,12,0,"0","1"
6,41,20,8,"0","1"
12,45,12,0,"1","1"
6,38,16,8,"1","1"
4,35,21,10,"1","1"
11,49,15,0,"1","1"
6,39,16,10,"1","1"
5,45,16,0,"1","1"
2,40,20,0,"1","1"
4,45,14,4,"1","1"
7,48,23,3,"1","1"
4,35,19,7,"1","1"
5,37,19,3,"1","1"
3,48,18,0,"1","1"
8,43,21,0,"1","1"
7,42,17,0,"1","1"
4,42,18,0,"1","1"
7,46,15,3,"1","1"
4,48,16,0,"1","1"
5,49,22,8,"1","1"
2,39,18,8,"1","1"
5,44,19,8,"1","1"
2,41,23,0,"1","1"
4,41,20,8,"1","1"
3,45,21,4,"0","0"
7,35,17,10,"0","0"
8,44,20,3,"0","0"
10,42,12,4,"0","0"
7,37,12,5,"0","0"
1,35,14,6,"0","0"
4,35,27,4,"0","0"
7,45,27,3,"0","0"
8,45,16,6,"0","0"
7,45,16,6,"0","0"
4,35,21,10,"0","0"
3,37,31,9,"0","0"
3,38,16,0,"1","0"
3,44,17,0,"1","0"
12,37,13,7,"1","0"
6,37,16,0,"1","0"
6,41,16,5,"1","0"
8,41,12,0,"1","0"
9,41,16,6,"0","0"
5,37,21,5,"1","0"
7,42,20,0,"1","0"
7,37,14,3,"1","0"
5,35,16,0,"1","0"
9,40,14,4,"1","0"
8,45,18,0,"1","0"
1,45,19,0,"1","0"
8,43,20,0,"1","0"
9,39,14,2,"1","0"
13,45,16,3,"1","0"
6,36,21,0,"1","0"
0,40,20,0,"1","0"
2,37,31,8,"1","0"
2,40,33,7,"1","0"
5,35,21,0,"1","0"
5,38,14,0,"1","0"
8,41,14,0,"1","0"
5,35,14,8,"1","0"
8,35,18,5,"1","0"
5,44,15,3,"1","0"
4,49,17,0,"1","0"
12,46,21,0,"1","0"
2,45,20,0,"1","0"
3,41,18,15,"1","0"
10,46,15,3,"1","0"
7,35,15,3,"1","0"
8,36,18,4,"1","0"
5,42,17,3,"1","0"
9,46,16,0,"1","0"
7,44,16,0,"1","0"
8,42,16,0,"1","0"
10,41,17,0,"1","0"
4,35,21,8,"0","0"
5,49,24,6,"0","0"
8,38,21,7,"0","0"
4,42,27,5,"0","0"
10,48,18,4,"0","0"
0,45,23,6,"0","0"
1,35,20,1,"0","0"
11,38,16,5,"0","0"
10,42,11,5,"0","0"
3,35,23,9,"0","0"
4,46,20,7,"0","0"
8,44,13,6,"0","0"
10,48,15,6,"0","0"
4,36,25,8,"0","0"
7,36,13,5,"0","0"
9,49,22,5,"0","0"
8,45,22,7,"0","0"
9,41,16,8,"0","0"
8,45,15,7,"0","0"
5,47,26,5,"0","0"
5,42,19,6,"0","0"
1,45,17,8,"0","0"
10,44,15,6,"0","0"
5,44,20,6,"0","0"
5,41,24,5,"0","0"
4,40,19,7,"0","0"
9,40,23,14,"0","0"
6,36,16,5,"0","0"
8,45,21,5,"0","0"
5,42,19,6,"0","0"
7,39,20,3,"0","0"
11,42,16,6,"0","0"
5,38,23,7,"0","0"
3,37,13,0,"1","0"
7,39,19,0,"1","0"
4,37,19,7,"1","0"
7,44,13,0,"1","0"
1,47,20,5,"0","1"
6,36,17,6,"0","1"
7,43,18,6,"0","1"
3,43,21,5,"0","1"
4,42,19,7,"0","1"
9,44,21,6,"0","1"
10,43,14,8,"1","1"
2,35,16,0,"1","1"
5,41,15,0,"1","1"
5,46,28,2,"1","1"
8,47,11,2,"1","1"
9,39,11,0,"1","1"
13,46,12,0,"1","1"
10,38,23,0,"1","1"
5,35,19,5,"1","1"
4,39,17,0,"1","1"
6,46,26,13,"1","1"
3,38,21,8,"1","1"
6,48,17,3,"1","1"
11,44,15,0,"1","1"
0,37,24,6,"0","1"
1,48,21,0,"0","1"
6,40,21,8,"0","1"
8,37,14,3,"1","1"
3,38,12,5,"1","1"
7,41,20,6,"1","1"
5,41,25,14,"1","1"
5,39,16,0,"1","1"
4,38,24,10,"1","1"
7,43,15,2,"1","1"
5,40,17,8,"1","1"
6,48,19,0,"1","1"
6,37,16,5,"1","1"
5,35,21,9,"0","0"
6,40,19,7,"0","0"
8,46,22,8,"0","0"
5,36,26,14,"0","0"
8,45,21,6,"0","0"
6,37,19,8,"0","0"
5,41,20,5,"0","0"
7,41,20,8,"0","0"
2,35,17,7,"0","0"
5,47,18,7,"0","0"
6,39,22,0,"0","0"
8,37,19,7,"0","0"
9,47,20,8,"0","0"
4,49,18,0,"1","0"
3,44,23,7,"1","0"
4,40,19,0,"1","0"
8,44,11,0,"1","0"
8,39,16,8,"1","0"
11,47,18,0,"1","0"
4,35,23,10,"1","0"
11,49,28,0,"1","0"
6,39,15,2,"1","0"
4,45,12,0,"1","0"
2,39,16,0,"1","0"
4,40,15,2,"1","0"
4,42,27,6,"0","0"
7,37,16,7,"0","0"
7,43,21,8,"0","0"
3,41,16,5,"0","0"
0,48,16,2,"0","0"
3,35,18,8,"0","0"
8,46,17,6,"0","0"
9,42,22,5,"0","0"
7,46,24,8,"0","0"
5,42,21,5,"0","0"
8,42,14,8,"0","0"
5,36,20,8,"0","0"
10,37,18,6,"0","0"
2,46,23,5,"0","0"
11,45,18,0,"0","0"
7,38,21,6,"0","0"
8,35,18,8,"0","0"
8,35,19,0,"1","0"
7,36,18,5,"0","0"
10,44,15,4,"1","0"
10,47,21,0,"0","0"
9,46,21,6,"0","0"
12,42,19,5,"0","0"
7,43,29,4,"0","0"
8,41,14,3,"0","0"
3,35,27,8,"0","0"
1,41,24,5,"0","0"
7,47,19,8,"0","0"
8,46,21,15,"0","0"
10,49,18,6,"0","0"
8,37,17,8,"0","0"
5,42,19,7,"0","0"
8,45,20,6,"0","0"
7,38,17,5,"1","0"
